possibilidade_de_retirada_de_consentimento;u_unidade_tempo;outra_fonte_origem_dos_dados_pessoais;temporalidade;finalidade;declaracaociencia;compartilhamento_com_terceiros_operadores;number;meio_automatizado;lgpd_area;quais_areas_internas_da_organizacao;tipos_de_terceiros;finalidade_compartilhamento_interno;u_instrumentos_juridicos_sugeridos;medidas_seguranca;descricao_retirada_consentimento;os_dados_tratados_sao_limitados_aos_fins_espec_ficos_que_justificam_sua_coleta;tipo_dado_pessoal;fonte_origem_dos_dados_pessoais;outras_finalidades_areas_internas;lgpd_processo;nome_dos_terceiros;qual_o_canal_de_comunicacao;categoria_dados;assinale_abaixo_as_pol_ticas_j_utilizadas_na_sua_rea_processo;partes_que_acessam_usam_os_dados;outro_tipo_dado_pessoal;outras_medidas_seguranca;canal_de_comunicacao_questionario;base_legal_lgpd;outras_categoria_dados;outros_metodo_de_transferencia_para_destinos;descricao_do_processo;u_direitos_titular;finalidade_outro;u_conformidade;localizacao;lgpd_diretoria;paises_utilizando_o_processo;nome_do_questionario;lgpd_sistema;solicitacao_de_consentimento_quanto_a_coleta;areas_internas_com_acesso_aos_dados;metodo_de_transferencia_para_destinos;ha_transferencia_internacional_de_dados_pessoais;dado_pessoal_sensivel;titulares_de_dados_volume;localizacao_outro;outros_sistemas
;Controle de Acesso;Brasil;Anos;;Controlador;Integração de Aplicações;Controle de Acessos - Usinas;Verdadeiro;Raízen - Segurança Patrimonial - Controle de Acessos - Usinas;Atividades Administrativas;Zella Sistemas;;Avaliar nível de proteção dos dados/armazenagem no sistema Foracesso da Zella Sistemas. rever contrato e inserir cláusula de proteção de dados no mesmo.;;Sim;;Cargo, CNH, Endereço comercial, Fotografia, Local de trabalho, Matrícula;Outra área ou atividade de tratamento;Sim;As unidades EAB (Etanol, Açúcar e Bioenergia) tem equipamentos de controle de acesso (relógios de ponto, catracas, torniquetes, cancelas, totens) de funcionários, contratados e visitantes controlados pelo sistema em nuvem Foracesso, gerido pela Zella Sistemas. Os dados de nome, matrícula (funcionários), RG, CPF, CNH e fotografia são obtidos do SAP através de integração de sistemas.   Os dados permanecem armazenados no sistema Foracessos por 5 anos e são tratados exclusivamente para o controle interno dos pontos de acesso e não são fornecidos a nenhuma área, a menos que apresentada solicitação formal, com comprovada necessidade judicial, analisada pelo próprio departamento. Nesse caso, o relatório é extraído diretamente pelo sistema e encaminhada por e-mail ao responsável da área solicitante.;Não;;Visitantes;5;;Dados Genéticos, Biometria;Não;;;CPF, Nome, Outros tipos de dados pessoais, RG;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";Foracesso, SAP Energia;;;Art. 11, II, a – Cumprimento de Obrigação Legal;;Segurança Patrimonial;de 10.000 a 100.000;Engenharia & SSMA;;;Equipe Jurídica;;;Outras fontes de Dados;Base Legada;Atividades Administrativas;Outras categorias
;Controle de Acesso;Brasil;Anos;Controles de Segurança;Controlador;;Investigação de furto e roubo;Verdadeiro;Raízen - Segurança Patrimonial - Investigação de furto e roubo;Atividades Administrativas;;;Centralizar todas as informações, documentos e relatórios exclusivamente em pasta de rede com acesso restrito, excluindo a informação do computador dos destinatários ou responsáveis internos pelas investigações.;;Sim;;Idade, Cargo, Dados de Contato, Endereço residencial, Gênero, Local de trabalho, Nacionalidade, Naturalidade;Sistema ou Fornecedor, Outra área ou atividade de tratamento;Não;Nessa atividade, as investigações de ocorrências de furtos e roubos são realizadas pelos Líderes de Segurança com apoio dos Supervisores de Segurança. Os dados são sigilosos e acessados apenas por um número limitado pessoas envolvidas na investigação. Só são compartilhados na situação de envolvimento da área de auditoria para aprofundamento no caso, ou envolvimento da área de controles para mudança de um processo.  Quando necessário o compartilhamento dessas informações, e-mails com arquivos de texto ou informações no corpo do e-mail são enviados para Coordenação ou Gerencia das áreas. Ficam armazenados na estação de trabalho do Supervisor de Segurança e no e-mail dos envolvidos no compartilhamento. A sindicância quando feita, gera somente documentos virtuais, os quais são armazenados da mesma forma que os relatórios. São coletados dados de nome completo, RG, CPF, endereço residencial, empresa entidade, antecedentes e registros criminais, além de informações visuais, obtidos de diversas fontes, do SAP, do sistema que realiza controle de acessos e do CFTV.   Caso a ação de roubo ou furto seja gerada por terceiro (público externo) e haja evidências claras disso, é gerado boletim de ocorrência. Os boletins são enviados por e-mail e os originais ficam em uma pasta na unidade, em que somente a segurança tem acesso.;Não;;Cidadão;5;;Dados Genéticos, Biometria;Não;;;Celular, CPF, Data de aniversário/nascimento, E-mail, Geolocalização histórica, Nome, Outros tipos de dados pessoais, RG, Telefone fixo, Vídeos;;CFTV, E-mail, Documento Físico, SAP Energia;;;Art. 11, II, d – exercício regular de direitos em contrato, processo judicial, administrativo ou arbitral;Arquivos Físicos;Segurança Patrimonial;de  0 a 1.000;Engenharia & SSMA;;;Auditores Internos;;;Outras fontes de Dados;Base Legada, E-mail, Outras Localizações;Atividades Administrativas, Outras Finalidades;Outras categorias
;Controle de Acesso;Brasil;Indeterminado;Validar o cadastro dos funcionários de empresa terceirizada, contratada para prestar serviços diversos de manutenção nas estruturas operacionais da Raízen. validar o cadastro dos funcionários de empresa terceirizada, contratada para prestar serviços diversos de manutenção nas estruturas operacionais da Raízen.;Controlador;Integração de Aplicações;Integração de Segurança;Verdadeiro;Raízen - SSMA - Contratados - Integração de Segurança;Atividades Administrativas;Bernhoeft;;Descrito em comentários no próprio PDF;;Sim;;Idade, CNH, Estado Civil, Gênero, Local de trabalho, Nacionalidade, Naturalidade, Perfil profissional;Sistema ou Fornecedor;Sim;"Os dados são registrados pela empresa contratada no sistema New Contract, os documentos pessoais como CNH, RG, os relativos à saúde do trabalhador ASO, PPT, EPI, bem como a comprovação dos cursos de habilitação, trabalho em altura, clausura, entre outros são ""uploaded"" no sistema. A empresa Bernhoeft verifica os dados, comparando com os documentos da empresa (PPRA, PSCMSO), atividade a ser realizada pelo colaborador do contratado e define o status (aprovado, reprovado). Quando o funcionário é aprovado ele pode agendar a integração dentro do próprio sistema. Há a possibilidade dos contratantes e equipes de segurança entrarem no sistema para avaliar documentos referentes a qual atividade aquele colaborador está apto a executar.";Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;CPF, Data de aniversário/nascimento, Nome, Outros tipos de dados pessoais, RG;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";Bernhoeft;;;Art. 7°, II – Cumprimento de Obrigação Legal;;SSMA;de 10.000 a 100.000;Engenharia & SSMA;;;Auditores Internos, Gestores de contrato, SESMT  e SSMA das unidades, Outras áreas/atividades de processamento;;;Outras fontes de Dados;Base Legada;Atividades Administrativas, Outras Finalidades;Dados de prestadores de serviços - pessoa física
;Controle de Acesso;Brasil;Indeterminado;Iniciativas relacionadas com a segurança,Melhoria de processos;Controlador;;Fechamento - Acidentes;Verdadeiro;Raízen - SSMA - Fechamento - Acidentes;Atividades Administrativas;;;1. Observância à segregação de acessos a sistemas e limitação de dados a serem circulados entre áreas diversas.;;Sim;;Data de admissão/rescisão e Motivo da rescisão, Endereço comercial, Estado Civil, Gênero, Gestor, Idade, Jornada de trabalho, Matrícula;Outra área ou atividade de tratamento;Não;Os dados utilizados fechamento e elaboração dos indicadores de segurança são recebidos de diversas formas: Sistema SIS - Sistema de Informações de Sustentabilidade  (horas e quantidade de pessoas), Planilha em Excel de duas fontes: RH - Geral sem Salário, somente essa planilha possui dados pessoais, as demais informações são estatísticas: quantidade de pessoas e horas trabalhadas, e SSMA Combustíveis - Planilhas de acidentes compartilhada no Sharepoint, onde os responsáveis de cada unidade registram os seus dados. Os dados são armazenados em planilhas na rede corporativa SSMA, são compilados nos indicadores de segurança e compartilhados com a organização da seguinte forma: Combustíveis – envio de planilha (por e-mail) contendo todos os dados do fechamento, incluindo detalhes dos acidentes, com o nome do acidentado no caso de acidente de veículo. EAB - Dados apenas compilados por área, através de apresentações (enviados por e-mail) e disponibilizadas pelo Power BI. Nas reuniões presenciais com unidades, diretores e acionistas é disponibilizado documento preparado, no entanto, apenas com dados estatísticos.;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;Data de aniversário/nascimento, E-mail, Nome, Outros tipos de dados pessoais;;SIS - Sustentabilidade, Rede, Excel, Power BI, Sharepoint ALL (Rumo);;;Art. 7°, VII -  proteção da vida ou da incolumidade física do titular ou de terceiro;;SSMA;de 10.000 a 100.000;Engenharia & SSMA;;;Auditores Internos, SSMA das unidades, Equipes operacionais de combustíveis e EAB, Outras áreas/atividades de processamento;;;Outras fontes de Dados;Base Legada, Planilhas, Pastas de Rede Compartilhada, Pastas e Documentos na Nuvem;Atividades Administrativas, Outras Finalidades;Dados de empregados
;Controle de Acesso;Brasil;Indeterminado;Iniciativas relacionadas com a segurança,legal compliance,Melhoria de performance e aprendizado,Health Related Initiatives;Controlador;Cópia Eletrônica de Documentos, 714bf0a71b932410764ba68fe54bcb0d, E-mail;Investigação de Acidentes;Verdadeiro;Raízen - SSMA - Investigação de Acidentes;Atividades Administrativas;Cerest, Comgás, Cosan, Moove, Rumo;;1. Deve haver uma retificação, pois na verdade, os titulares dos dados são so funcionários das empresas terceiras, ou seja, contratadas e não contratantes. 2.  Quais seriam os dados criminais envolvidos? Aqueles que dizem respeito a direção no trânsito? 3. Reavaliação dos integrantes do grupo de whatsapp (atualização constante - eliminação de ex-funcionários e/ou funcionários que não tenham mais conexão com o tema/área). 4.  Continuidade da observância aos critérios de pseudoaninimização em relação informações estritamente necessárias.;;Sim;;Cargo, CNH, Estado Civil, Fotografia, Gênero, Gestor, Idade, Jornada de trabalho, Matrícula, Nacionalidade, Naturalidade, Nome(s) do(s) dependente(s);Outra área ou atividade de tratamento;Sim;Os acidentes são tratados e investigados pela equipe de campo local e SSMA local.  As primeiras informações são passadas pelo grupo SSMA WhatsApp. Posteriormente recebemos as informações via ppt (e-mail) e o relatório de investigação pelo Sistema Alerta.  Os relatórios contêm os dados pessoais dos acidentados que podem ser funcionários, terceiros e cidadãos, em caso de acidentes de trânsito, fotos da simulação (não identificáveis) entre outras informações relevantes para apuração das causas dos acidentes.  Para a elaboração e compartilhamento de relatórios os dados pessoais dos colaboradores são removidos a fim de evitar a identificação dos mesmos. O compartilhamento e feito por reportes enviados por e-mail e nas reuniões realizadas com as unidades, diretores e acionistas, e são priorizados os dados estatísticos. O objetivo do compartilhamento dos dados é a avaliação das causas, melhoria de processos, prevenção e redução de acidentes. A única situação onde acessamos os dados de familiares se dá em caso de uma fatalidade. No comunicado é focado o fator humano, com referência família: deixa esposa e filhos (quantidade), se casado, e pais, se solteiro. Podemos mandar informações de acidentes relevantes para outras empresas do grupo. Quando necessário e solicitado pelos órgãos públicos essas informações podem ser divididas com eles. Sempre com aval do Jurídico trabalhista.;Não;;Cidadão;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;Data de aniversário/nascimento, E-mail, Informações da família, Nome, Outros tipos de dados pessoais;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";SSMA - Alerta Web, Rede, E-mail, Whatsapp;;;Art. 11, II, e - proteção da vida ou da incolumidade física do titular ou de terceiro;Arquivos Físicos, WhatsApp;SSMA;de 10.000 a 100.000;Engenharia & SSMA;;;Equipe Operações/Manutenção, Outras áreas/atividades de processamento, Auditores Internos;;;Outras fontes de Dados;Base Legada, E-mail, Pastas de Rede Compartilhada;Atividades Administrativas, Outras Finalidades;Outras categorias
;Controle de Acesso;Brasil;Indeterminado;Obrigações Contratuais;Controlador;;Assinatura de contratos específicos;Verdadeiro;Raízen - Suprimentos - Assinatura de contratos específicos;Atividades Administrativas;;;Verificar a existência/inserir cláusula LGDP nos contratos celebrados com a QualiSign. Verificar segurança da ferramenta CAP;;Sim;;;Diretamente do Titular dos Dados, Outra área ou atividade de tratamento;Não;Na atividade de tratamento “Assinatura de Contratos Específicos”, os dados tratados são dos representantes legais da empresa (nome e CPF), tanto da Raízen quanto dos fornecedores. Os dados são coletados dos cadastros dos funcionários e do Portal de Fornecedores (cadastrados pelos próprios fornecedores). Antes da emissão dos contratos, os dados são confirmados com os titulares via e-mail. Nessa atividade, o comprador solicita o contrato por meio da ferramenta CAP e o envio do contrato para assinatura é feito pela ferramenta Qualisign. As informações são confirmadas pela área de suprimentos. Primeiramente, há a assinatura dos representantes legais das empresas fornecedoras e depois pelos procuradores da Raízen. Após concluído o processo de assinatura (externo e interno), o contrato é extraído da ferramenta Qualisign e disponibilizado em PDF na ferramenta CAP Fluxo minuto, ferramenta que o comprador gerou a necessidade do contrato. A partir da CAP o comprador pode disponibilizar o contrato para as áreas usuárias.;Não;;Fornecedor - Pessoa Física;Indeterminado;;;Sim;Atendimento Fornecedores;;CPF, Nome;;SAP Energia, Qualisign, Portal de Fornecedores, E-mail, CAP Raízen;;;Art. 7°, V – execução de contrato ou de procedimentos preliminares;;Suprimentos;de 1.000.000 a 10.000.000;Suprimentos;;;Equipe Jurídica, Auditores Internos;;;Outras fontes de Dados;Base Legada, E-mail;Atividades Administrativas, Outras Finalidades;Dados de empregados, Outras categorias
;Controle de Acesso;Brasil;Indeterminado;Obrigações Contratuais, Validação Cadastral;Controlador;Integração de Aplicações, Formulário WEB;Cadastro de Fornecedores;Verdadeiro;Raízen - Suprimentos - Cadastro de Fornecedores;Atividades Administrativas;Receita Federal;;Descrito em comentários no próprio PDF;;Sim;;Dados de Contato;Diretamente do Titular dos Dados, Sistema ou Fornecedor;Sim;Na atividade de tratamento “Cadastro de Fornecedores”, os dados envolvidos são informados pelo próprio fornecedor no Portal de Fornecedores. Os dados pessoais são nome completo, e-mail pessoal, números de telefone e informações de contato dos representantes legais dos fornecedores. A partir da homologação, os dados são migrados para o SAP. Na atividade é utilizada a ferramenta Midas que funciona como um robô com o objetivo de fazer análises dos fornecedores. As consultas ocorrem mediante o cadastro do fornecedor e mensalmente são consultados os documentos cadastrais dos fornecedores ativos: Cartão CNPJ (Comprovante de Inscrição e de Situação Cadastral de Pessoa Jurídica), Sintegra (Sistema Integrado de Informações sobre Operações Interestaduais com Mercadoria e Serviços), Simples Nacional (Consulta de Optantes pelo Simples Nacional), Certidão de Débitos Relativos a Créditos Tributários Federais e à Dívida Ativa da União, Certificado de Regularidade do FGTS. Os dados podem ser acessados por auditorias internas pelo sistema SAP, Portal de Fornecedores ou ainda serem solicitados à equipe de Gestão de Fornecedores.;Não;;Fornecedor - Pessoa Física;Indeterminado;;;Sim;Atendimento Fornecedores;;Celular, E-mail, Nome, Outros tipos de dados pessoais, Telefone fixo;Receita Federal;SAP Energia, Portal de Fornecedores, Midas, CAP Raízen;;;Art. 7°, V – execução de contrato ou de procedimentos preliminares;;Suprimentos;de 1.000.000 a 10.000.000;Suprimentos;;;Auditores Internos;;;Outras fontes de Dados;Base Legada;Atividades Administrativas, Outras Finalidades;Outras categorias
;Controle de Acesso;Brasil;Indeterminado;Obrigações Contratuais;Controlador;Integração de Aplicações, Formulário WEB;Consultas regulares de fornecedores;Verdadeiro;Raízen - Suprimentos - Consultas regulares de fornecedores;Atividades Administrativas;Receita Federal;;Descrito em comentários no próprio PDF;;Sim;;Dados de Contato;Diretamente do Titular dos Dados, Outra área ou atividade de tratamento;Sim;Na atividade “Consultas regulares de fornecedores”, os dados são inseridos pelos fornecedores no Portal de fornecedores e após o processo de homologação, são transmitidos ao SAP. Os dados pessoais envolvidos nessa atividade são nome completo, informação da conta bancária, informações da conta bancária, e-mail corporativo, informações de contato e números de telefone. As consultas ocorrem mediante o cadastro do fornecedor e mensalmente são consultados os documentos cadastrais dos fornecedores ativos: Cartão CNPJ (Comprovante de Inscrição e de Situação Cadastral de Pessoa Jurídica), Sintegra (Sistema Integrado de Informações sobre Operações Interestaduais com Mercadoria e Serviços), Simples Nacional (Consulta de Optantes pelo Simples Nacional), Certidão de Débitos Relativos a Créditos Tributários Federais e à Dívida Ativa da União, Certificado de Regularidade do FGTS. Na atividade é utilizada a ferramenta Midas que funciona como um robô com o objetivo de fazer análises das informações de um novo fornecedor ou quando acontece alterações de informações no SAP.;Não;;Fornecedor - Pessoa Física;Indeterminado;;;Sim;Atendimento Fornecedores;;Dados bancários, E-mail, Nome, Outros tipos de dados pessoais;Receita Federal;Portal de Fornecedores, Midas, SAP Energia;;;Art. 7°, V – execução de contrato ou de procedimentos preliminares;;Suprimentos;de 1.000.000 a 10.000.000;Suprimentos;;;Auditores Internos;;;Outras fontes de Dados;Base Legada;Atividades Administrativas, Outras Finalidades;Outras categorias
;Controle de Acesso;Brasil;Indeterminado;Validação Cadastral;Controlador;Formulário WEB;Homologação de Fornecedores;Verdadeiro;Raízen - Suprimentos - Homologação de Fornecedores;Atividades Administrativas;Credpartner;;Verificar a existência/inserir cláusula LGDP nos contratos celebrados com a Credpartner e . Verificar segurança da ferramenta MIDAS;;Sim;;Dados de Contato;Sistema ou Fornecedor;Sim;Na atividade de tratamento “Homologação de Fornecedores”, são coletados dados de responsáveis legais de fornecedores, fornecidos diretamente pelos titulares no Portal de Fornecedores. As informações são nome completo, e-mail pessoal, informação da conta bancária e informações de contato. Quando aplicável, a análise financeira dos fornecedores é realizada pela Credpartner (empresa terceira), que acessa o Portal de Fornecedores. Além disso, na atividade é utilizada a ferramenta Midas, que funciona como um robô com o objetivo de fazer análises das informações de um novo fornecedor ou quando acontece alterações de informações no SAP. Após a análise, a Credpartner anexa os relatórios no Portal de Fornecedores, que ficam disponíveis na plataforma e podem ser acessados em caso de auditorias internas e externas ou contatando a equipe de Gestão de Fornecedores que podem fornecer também o relatório gerado pela Midas.;Não;teste;Fornecedor - Pessoa Física;Indeterminado;;;Sim;Atendimento Fornecedores;;Celular, Dados bancários, E-mail, Nome, Outros tipos de dados pessoais, Telefone fixo;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";Portal de Fornecedores, Midas, SAP Energia;;;Art. 7°, V – execução de contrato ou de procedimentos preliminares;;Suprimentos;de 1.000.000 a 10.000.000;Suprimentos;;;Auditores Internos;;;Outras fontes de Dados;Base Legada;Atividades Administrativas, Outras Finalidades;Outras categorias
;Controle de Acesso;Brasil;Anos;Finanças;Controlador;Integração de Aplicações;Supriementos - EAB;Verdadeiro;Raízen - Suprimentos - EAB;Atividades Administrativas;EAB;;Estamos entendendo que os dados pessoais neste fluxo são totalmente facultativos e não mudam em nada a finalidade que é entender/analisar o saving do pool. Para evitar riscos para a Cia, caso seja possível, sugerimos expurgar estes dados da análise. Aplicando o princípio da necessidade, não precisaríamos ter este tratamento de dado e consequentemente, este ROPA.  OBS: A única base legal seria o legítimo interesse do controlador, mas também entendemos que o fluxo não passaria do teste do LIA, já que pelo exposto acima, não há observância ao princípio da necessidade/minimização.;;Sim;;Endereço residencial;Sistema ou Fornecedor;Sim;A atividade de tratamento “YEB” trata da análise de saving do Pool de Compras Cultivar. O processo é iniciado a partir da exportação da base de pedidos em excel do Portal Agrícola. Os dados envolvidos nessa atividade são dos fornecedores de cana. Geralmente, os dados são de pessoas Jurídica, no entanto, a base de dados pode conter dados como nome, CPF e endereço dos fornecedores. Com base no relatório extraído os pedidos de compras cancelados são excluídos juntamente com os dados do fornecedor que solicitou a compra. As informações são armazenadas na planilha em Excel na estação de trabalhos do colaborador de Suprimentos que envia por e-mail para a consultoria EAB.;Não;;Fornecedor - Pessoa Física;1;;;Sim;Atendimento Fornecedores;;CPF, Nome, Outros tipos de dados pessoais;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";Portal Agrícola, Desktop, E-mail, Rede, Excel;;;Art. 7°, V – execução de contrato ou de procedimentos preliminares;;Suprimentos;de  0 a 1.000;Suprimentos;;;Outras áreas/atividades de processamento;;;Outras fontes de Dados;Base Legada, E-mail, Planilhas, Pastas de Rede Compartilhada, Computador;Atividades Administrativas, Outras Finalidades;Outras categorias
;Controle de Acesso;Europe (EEA), USA, América do Sul;Indeterminado;Obrigações Contratuais;Controlador;Integração de Aplicações, E-mail;Análise Contrapartes de novos clientes;Verdadeiro;Raízen - Trade - Análise Contrapartes de novos clientes;Atividades Administrativas;CSC;;;;Sim;;Dados dos sócios, Assinatura, Dados de Contato, Endereço comercial, Gênero, Local de trabalho, Naturalidade;Diretamente do Titular dos Dados;Sim;Nessa atividade de tratamento, a área de Trading realiza a coleta de informações para análise de contrapartes, como etapa de verificação documental e financeira prévia à assinatura de contratos. São coletados dados de nome, RG, CPF, estado civil, informações de contato, cargo e histórico de crédito de responsáveis legais e sócios de empresas clientes, potenciais clientes ou fornecedores. Os titulares podem ser residentes de diversos países da América do Sul, América do Norte e Europa.  Os dados são enviados para a área de trading por representantes da contraparte através de e-mail. Em seguida, a área repassa os dados à Eficiência Operacional do CSC por e-mail para que seja feita a análise e validação das informações. PPor fim, a área de trading solicita o cadastro do cliente ou fornecedor através de chamado no PSA e Portal de Fornecedores.  O time de cadastro realiza o cadastro dos clientes/fornecedores no SAP. A integração com os demais sistemas é realizado de forma automática.  Os dados encaminhados também ficam armazenados em diretório específico da área, com restrição de acesso à equipe, por tempo indeterminado.;Não;;Fornecedor - Pessoa Física, Clientes Potenciais;Indeterminado;;;Não;;;CPF, Dados bancários, Data de aniversário/nascimento, E-mail, Nome, Outros tipos de dados pessoais, RG;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";PSA - Portal de Suporte Admin, E-mail, Portal de Fornecedores, Rede, SICLE (Sistema Integrado de Comercialização e Logística de Etanol);;;Art. 7°, II – Cumprimento de Obrigação Legal;;Trade;de  0 a 1.000;Trading;;;Outras áreas/atividades de processamento, Legal Teams;;;Outras fontes de Dados;Base Legada, E-mail, Pastas de Rede Compartilhada;Atividades Administrativas, Outras Finalidades;Outras categorias
;Controle de Acesso;Brasil;Indeterminado;Obrigações Contratuais;Controlador;;Atualização de Procurações;Verdadeiro;Raízen - Trade - Atualização de Procurações;Atividades Administrativas;;;;;Sim;;Cargo, Endereço comercial, Estado Civil, Local de trabalho, Nacionalidade;Outra área ou atividade de tratamento;Não;Nessa atividade de tratamento, a área de trading realiza solicitação de atualização de procurações de traders e diretores da companhia. Os dados de nome, RG, CPF, estado civil, cargo e e-mail corporativo são acessados e atualizados através do sistema Easy. Em seguida, são validados pelo departamento jurídico na ferramenta, para coleta de assinaturas e circulação do documento. As informações permanecem armazenadas no Easy por tempo indeterminado.;Não;;;Indeterminado;;;Não;;;CPF, E-mail, Nome, Outros tipos de dados pessoais, RG;;Easy;;;Art. 7°, II – Cumprimento de Obrigação Legal;;Trade;de  0 a 1.000;Trading;;;Equipe Jurídica;;;Outras fontes de Dados;Base Legada;Atividades Administrativas, Outras Finalidades;Dados de empregados
;Controle de Acesso;Europe (EEA);Indeterminado;Obrigação Legal e/ou Tributária;Controlador;;Transações internacionais;Verdadeiro;Raízen - Trade - Transações internacionais;Atividades Administrativas;;;;;Sim;;Assinatura;Diretamente do Titular dos Dados;Não;A atividade de tratamento “Transações Internacionais” está relacionada aos processos de Importação/Exportação, quando são assinados o documento de Conhecimento de Embarque Marítimo (Bill of Lading ou B/L), que permite o transporte de mercadorias. A área de trading recebe por e-mail o endosso do documento contendo apenas a assinatura da Raízen Trading em Genebra, na Suíça. As mensagens são enviadas pelo próprio titular e não são encaminhadas a outras áreas, nem extraídas das caixas de e-mail, onde permanecem armazenadas por tempo indefinido.;Não;;;Indeterminado;;;Não;;;Nome, Outros tipos de dados pessoais;;E-mail;;;Art. 7°, V – execução de contrato ou de procedimentos preliminares;;Trade;de  0 a 1.000;Trading;;;Outras áreas/atividades de processamento;;;Outras fontes de Dados;E-mail;Atividades Administrativas, Outras Finalidades;Dados de empregados
;Gestão de Senhas;Brasil;;;Controlador;Formulário WEB;Sistema de Recebimento de projetos de patrocínios (sociais e de marca) - Prosas;Verdadeiro;Raízen - Marketing - Patrocinio - Moto esporte;Assistência Jurídica, Atividades Administrativas, Compliance, Análise e Pesquisa;;;;;Sim;Sim;;;Sim;O Prosas é uma plataforma de seleção e monitoramento de projetos sociais, que conecta patrocinadores, empreendedores sociais e cidadãos.;Não;f273285f1bca30104ec7b8481b4bcb8c, 7673285f1bca30104ec7b8481b4bcb87;Empreendedor social - pessoa jurídica;Indeterminado;Procedimento de Investimento Social, Procedimento de Patrocínios, Procedimento de Doações;;Sim;Plataforma Prosas, e-mail e whatsapp;;CPF, Dados bancários, E-mail, Nome, RG, Telefone fixo;Nacional;;Não;Não;Art. 7°, V – execução de contrato ou de procedimentos preliminares;;Marketing;de  0 a 1.000;Marketing;;Não;Marketing, Performance Social, Compliance (contraparte), Tributário (Corporativo e CSC), Contas a Pagar, Cadastro, Jurídico;;;Site;Sistemas/ Aplicativos de Terceiros;Atividades Jurídicas, Compliance;Outras categorias
Sim desde que o fornecedor não tenha mais interesse em manter a relação comercial com a Raízen. Neste caso seria descadastrado e retirado da nossa base de fornecedores homologados.;Outras Medidas de Segurança;Brasil;Anos;Os dados pessoais compartilhados têm como finalidade: (i) comprovação de representação legal. (ii) direcionamento de comunicações formais. (iii) verificações diversas, tais como financeiras e reputacionais.;Co-controlador;;Homologação de Fornecedores - G-Certifica;Verdadeiro;Raízen - Suprimentos - Homologação de Fornecedores;Compliance, Outras Finalidades - Areas Internas, Atividades Jurídicas;;Análise financeira, comprovação do poder dos representantes legais e exposição negativa em mídia;;Conforme Programa de Governança em Privacidade - em anexo;Sim;Sim;;O próprio fornecedor informa os dados pessoais de representantes legais e principais sócios da empresa.;Não;O processo de homologação comercial dos fornecedores tem como principal objetivo a identificação de riscos financeiros e de integridades dos possíveis fornecedores que podem ter relação comercial com a Raízen. Temos uma matriz de riscos de acordo com o tipo de fornecimento em que, de acordo com o resultado do fornecedor nos critérios, pode ter a homologação aprovada ou reprovada. Mensalmente a análise é atualizada para acompanharmos a evolução da situação dos fornecedores. Solicitamos dados pessoais de representantes legais e principais sócios. Os dados pessoais compartilhados têm como finalidade: (i) comprovação de representação legal. (ii) direcionamento de comunicações formais. (iii) verificações diversas, tais como financeiras e reputacionais. São consultadas informações em fontes públicas (data set em anexo) e bureau de crédito (SERASA).;Sim;;;Indeterminado;PR.FIN.C06 - Seleção e Qualificação de Fornecedores de Equipamentos, Materiais e Serviços PR.FIN.C16 - Negociações e contratações que requerem análise do Jurídico;;Não;;Há legítima expectativa do titular em ter seus dados tratados pela Raízen pois, somente dessa forma, poderá continuar a ser fornecedor habilitado para prestar serviços.;CPF, Celular, Nome, E-mail;;Portal de Fornecedores;Sim;Não;Art. 7°, IX – Legítimo Interesse do Controlador;;Suprimentos;de 1.000 a 10.000;Suprimentos;;Sim;Compliance, CSC (área de Cadastros e Integridades), Financeiro, Jurídico e Suprimentos;;Servidor do Google (Estados Unidos) - item 1.4 da Política de Privacidade e Segurança em anexo;Birô de Dados (Serasa, SPC, etc), Fontes Públicas (descrever quais no campo “outras fontes de dados”), Outras fontes de Dados;Nuvem;Outras Finalidades;Dados de prestadores de serviços - pessoa física
